survived,name,sex,age,class,embarked
0,"Niven, Mr. John Brown",0,30,1,0
0,"Noon, Mr. John Thomas",0,42,1,0
0,"Norris, Mr. James",0,22,1,0
0,"Noss, Mr. Bertram Arthur",0,21,1,0
1,"Noss, Mr. Henry",0,30,1,0
1,"Nutbean, Mr. William",0,30,1,0
1,"O'Connor, Mr. John",0,29,1,0
0,"Olive, Mr. Charles",0,31,1,0
1,"Oliver, Mr. H.",0,32,1,0
1,"Othen, Mr. Charles Alfred",0,36,1,0
0,"Paice, Mr. Richard Charles John",0,32,1,0
0,"Painter, Mr. Charles",0,32,1,0
0,"Painter, Mr. Frank",0,29,1,0
0,"Palles, Mr. Thomas Henry Michael",0,45,1,1
0,"Parsons, Mr. Frank Alfred",0,27,1,1
1,"Pearce, Mr. John",0,28,1,0
1,"Pelham, Mr. George",0,39,1,0
1,"Perry, Mr. Edgar Lionel",0,19,1,0
0,"Perry, Mr. Henry Frederick",0,23,1,0
0,"Phillips, Mr. A. George",0,27,1,0
0,"Pitfield, Mr. William James",0,25,1,0
1,"Podesta, Mr. Alfred John Alexander",0,24,1,0
0,"Pond, Mr. George",0,33,1,0
1,"Prangnell, Mr. George Alexander",0,30,1,0
0,"Preston, Mr. Thomas Charles Alfred",0,20,1,0
1,"Priest, Mr. Arthur John",0,24,1,0
0,"Proudfoot, Mr. Richard Royston",0,22,1,0
0,"Pugh, Mr. Arthur Percy",0,31,1,0
1,"Pusey, Mr. William Robert Holland",0,22,1,0
1,"Ranger, Mr. Thomas",0,29,1,0
0,"Read, Mr. Joseph",0,20,1,0
0,"Reeves, Mr. Frederick Simms",0,34,1,0
0,"Reid, Mr. Robert Thomas",0,30,1,0
1,"Rice, Mr. Charles",0,32,1,0
0,"Richards, Mr. Joseph James",0,30,1,0
0,"Rickman, Mr. George Albert",0,36,1,0
0,"Roberts, Mr. Robert George",0,35,1,0
0,"Rous, Mr. Arthur John",0,26,1,1
0,"Rudd, Mr. Henry",0,24,1,0
0,"Rutter, Mr. Sidney Frank",0,27,1,0
0,"Sangster, Mr. Charles Edward",0,30,1,0
0,"Saunders, Mr. F.",0,22,1,0
0,"Saunders, Mr. W.",0,23,1,0
0,"Saunders, Mr. Walter Ernest",0,23,1,0
0,"Scott, Mr. Archibald",0,41,1,0
1,"Scott, Mr. Frederick William",0,28,1,0
1,"Self, Mr. Albert Charles Edward",0,24,1,0
0,"Self, Mr. Alfred Henry",0,40,1,0
1,"Senior, Mr. Harry",0,31,1,0
0,"Shea, Mr. Thomas",0,32,1,0
1,"Sheath, Mr. Frederick",0,20,1,0
0,"Shepherd, Mr. Jonathan",0,32,1,0
1,"Shiers, Mr. Alfred Charles",0,25,1,0
0,"Shillabeer, Mr. Charles Frederick",0,19,1,0
0,"Skeates, Mr. William",0,23,1,0
0,"Sloan, Mr. Peter",0,31,1,1
0,"Small, Mr. William",0,40,1,0
0,"Smither, Mr. Harry James",0,22,1,0
0,"Smith, Mr. Emest George",0,27,1,0
0,"Smith, Mr. James Muil",0,39,1,1
0,"Snellgrove, Mr. George",0,41,1,0
0,"Snooks, Mr. W.",0,26,1,0
1,"Snow, Mr. Eustace Philip",0,21,1,0
1,"Sparkman, Mr. Henry William",0,36,1,0
0,"Stanbrook, Mr. Augustus George",0,31,1,0
0,"Steel, Mr. Robert Edward",0,30,1,0
0,"Stocker, Mr. Henry Dorey",0,20,1,0
1,"Street, Mr. Thomas Albert",0,25,1,0
0,"Stubbs, Mr. James Henry",0,28,1,0
0,"Sullivan, Mr. S.",0,25,1,0
1,"Taylor, Mr. George",0,24,1,0
0,"Taylor, Mr. J.",0,42,1,0
0,"Taylor, Mr. John Henry",0,49,1,0
1,"Taylor, Mr. William Henry",0,28,1,0
0,"Thomas, Mr. Joseph Wakefield",0,24,1,0
1,"Thompson, Mr. John William",0,35,1,0
1,"Threlfall, Mr. Thomas",0,44,1,0
1,"Thresher, Mr. George Terrill",0,25,1,0
0,"Tizard, Mr. Arthur Leopold",0,31,1,0
0,"Tozer, Mr. James",0,32,1,0
1,"Triggs, Mr. Reuben Robert",0,39,1,0
0,"Turley, Mr. Richard",0,37,1,1
0,"van der Brugge, Mr. Wessel Adrianus",0,38,1,0
0,"Veal, Mr. Arthur",0,36,1,0
0,"Vear, Mr. Henry",0,33,1,0
0,"Vear, Mr. William",0,34,1,0
0,"Ward, Mr. Arthur",0,23,1,1
0,"Ward, Mr. James William",0,31,1,0
0,"Wardner, Mr. Fred Albert",0,40,1,0
0,"Wateridge, Mr. Edward Lewis",0,26,1,0
0,"Watson, Mr. Willim",0,27,1,0
0,"Webber, Mr. Francis Albert",0,31,1,0
0,"Webb, Mr. Samuel Francis",0,28,1,0
0,"White, Mr. Albert",0,21,1,0
1,"White, Mr. Alfred",0,32,1,0
0,"White, Mr. Frank Leonard",0,28,1,0
1,"White, Mr. William George",0,23,1,0
0,"Williams, Mr. Samuel Solomon",0,26,1,0
0,"Wilson, Mr. Herbert 'Bertie'",0,28,1,1
0,"Wilton, Mr. William Edward",0,53,1,0
0,"Witcher, Mr. Albert Ernest",0,39,1,0
0,"Witt, Mr. Henry Dennis",0,37,1,0
0,"Witts, Mr. William Francis",0,35,1,0
0,"Woodford, Mr. Frederick Ernest",0,40,1,0
0,"Wood, Mr. Henry",0,31,1,0
0,"Worthman, Mr. William Henry",0,37,1,0
0,"Wyeth, Mr. James Robert",0,26,1,0
0,"Young, Mr. Francis James",0,32,1,0
0,"Allaria, Sig. Battista Antonio",0,22,2,0
0,"Aspeslagh, Mr. Georges",0,26,2,0
0,"Banfi, Sig. Ugo",0,24,2,0
0,"Basilico, Sig. Giovanni",0,27,2,0
0,"Bazzi, Sig. Narciso",0,33,2,0
0,"Bernardi, Sig. Battista",0,22,2,0
0,"Beux, Mr. David",0,26,2,0
0,"Bietrix, Mr. George Baptiste",0,28,2,0
0,"Blumet, Mr. Jean Baptiste",0,26,2,0
0,"Bochet, Mr. Pierre Giuseppe",0,43,2,0
0,"Bolhuis, Mr. Hendrik",0,27,2,0
1,"Bowker, Miss. Ruth Harwood",1,31,2,0
0,"Casali, Sig. Giulio",0,32,2,0
0,"Chaboisson, Mr. Adrien Finnin",0,25,2,0
0,"Cornaire, Mr. Marcel Raymond André",0,19,2,0
0,"Coutin, Mr. Auguste Louis",0,28,2,0
0,"Crovella, Sig. Luigi",0,17,2,0
0,"Debreucq, Mr. Maurice Emile Victor",0,18,2,0
0,"De Marsico, Sig. Govanni",0,20,2,0
0,"Desvernine, Mr. Louis Gabriel",0,20,2,0
0,"Donati, Sig. Italo Francesco",0,17,2,0
0,"Dornier, Mr. Louis Auguste",0,20,2,0
0,"Fey, Sig. Carlo",0,30,2,0
0,"Fioravante, Sig. Giuseppe Bertoldo",0,23,2,0
0,"Gatti, Sig. Gaspare Antonio Pietro",0,37,2,0
0,"Gilardino, Sig. Vincenzo Pio",0,31,2,0
0,"Grosclaude, Mr. Gérald",0,24,2,0
0,"Jaillet, Mr. Henri Marie",0,38,2,0
0,"Janin, Mr. Claude Marie",0,29,2,0
0,"Jeffery, Mr. William Alfred",0,28,2,0
0,"Jouannault, Mr. Georges Jules",0,24,2,0
1,"Martin, Miss. Mabel Elvina",1,20,2,0
0,"Mattmann, Sig. Adolf",0,20,2,0
1,"Mauge, Mr. Paul Achille Maurice Germain",0,25,2,0
0,"Monrós, Sr. Joan Javier",0,20,2,0
0,"Monteverdi, Sig. Giovanni",0,23,2,0
0,"Nannini, Sig. Francesco Luigi Arcangelo",0,42,2,0
0,"Pachera, Sig. Jean Baptiste Stanislas",0,19,2,0
0,"Pedrini, Sig. Alessandro",0,21,2,0
0,"Peracchio, Sig. Alberto",0,20,2,0
0,"Peracchio, Sig. Sebastiano",0,17,2,0
0,"Perotti, Sig. Alfonso",0,20,2,0
0,"Phillips, Mr. Walter John",0,35,2,0
0,"Piatti, Sig. Louis",0,17,2,0
0,"Piazza, Sig. Pompeo Gaspro",0,33,2,0
0,"Poggi, Sig. Emilio",0,28,2,0
0,"Price, Mr. Ernest Cyril",0,17,2,0
0,"Ratti, Sig. Enrico",0,21,2,0
0,"Ricaldone, Sig. Rinaldo Renato",0,22,2,0
0,"Rigozzi, Sig. Abele",0,22,2,0
0,"Rotta, Sig. Angelo Mario",0,23,2,0
0,"Rousseau, Mr. Pierre",0,49,2,0
0,"Saccaggi, Sig. Giovanni Giuseppe Emilio",0,24,2,0
0,"Salussolia, Sig. Govanni",0,25,2,0
0,"Sartori, Sig. Lazar",0,24,2,0
0,"Scavino, Sig. Candido",0,42,2,0
0,"Sesia, Sig. Giacomo",0,24,2,0
0,"Testoni, Sig. Ercole",0,23,2,0
0,"Tietz, Sig. Carlo/Karl",0,27,2,0
0,"Turvey, Mr. Charles Thomas",0,17,2,0
0,"Urbini, Sig. Roberto",0,20,2,0
0,"Valvassori, Sig. Ettore Luigi",0,35,2,0
0,"Vicat, Sig. Alphonse Jean Eugene",0,21,2,0
0,"Villvarlange, Mr. Pierre Léon Gabriel",0,19,2,0
0,"Vine, Mr. Herbert Thomas Gordon",0,18,2,0
0,"Vioni, Sig. Roberto",0,25,2,0
0,"Voegelin-Dubach, Sig. Johannes",0,35,2,0
0,"Zanetti, Sig. Minio",0,20,2,0
0,"Zarracchi, Sig. L.",0,26,2,0
0,"Abbott, Mr. Ernest Owen",0,21,3,0
0,"Ahier, Mr. Percy Snowden",0,20,3,0
0,"Akerman, Mr. Albert Edward",0,31,3,0
0,"Akerman, Mr. Joseph Francis",0,37,3,0
0,"Allen, Mr. Frederick",0,17,3,0
0,"Allen, Mr. George",0,26,3,0
0,"Allen, Mr. Robert Spencer",0,36,3,0
0,"Allsop, Mr. Frank Richard",0,41,3,1
0,"Anderson, Mr. Walter Yuill",0,48,3,0
1,"Andrews, Mr. Charles Edward",0,19,3,0
0,"Ashcroft, Mr. Austin Aloysius",0,26,3,0
0,"Ashe, Mr. Henry Wellesley",0,41,3,0
0,"Ayling, Mr. Edwin George",0,23,3,0
0,"Back, Mr. Charles Frederick",0,37,3,1
1,"Baggott, Mr. Allen Marden",0,28,3,0
0,"Bagley, Mr. Edward Henry",0,33,3,0
0,"Bailey, Mr. George Francis",0,36,3,1
1,"Ball, Mr. Percy",0,19,3,0
0,"Barker, Mr. Albert Vale",0,19,3,0
0,"Barker, Mr. Ernest Thomas",0,41,3,0
0,"Barker, Mr. Reginald Lomond",0,42,3,1
0,"Barlow, Mr. George",0,36,3,0
0,"Barnes, Mr. Frederick Charles",0,40,3,0
0,"Barratt, Mr. Arthur",0,16,3,0
0,"Barringer, Mr. Arthur William",0,34,3,1
0,"Barrow, Mr. Charles Henry John Barrow",0,36,3,0
0,"Barrows, Mr. William",0,32,3,0
0,"Barton, Mr. Sidney John",0,26,3,0
0,"Baxter, Mr. Harry Ross",0,53,3,0
0,"Baxter, Mr. Thomas Ferguson",0,55,3,0
0,"Bedford, Mr. William Barnett",0,31,3,0
0,"Beedem, Mr. George Arthur",0,35,3,0
0,"Beere, Mr. William",0,19,3,0
0,"Benham, Mr. Fred John",0,30,3,0
1,"Bennett, Mrs. Mabel",1,33,3,0
0,"Bessant, Mr. Edward",0,31,3,0
0,"Best, Mr. Edwin Alfred",0,40,3,1
0,"Bishop, Mr. Walter Alexander",0,34,3,1
1,"Bliss, Mrs. Emma",1,45,3,0
0,"Bochatay, Mr. Alexis Joseph",0,30,3,0
0,"Bogie, Mr. Norman Leslie",0,59,3,0
0,"Bond, Mr. William John",0,40,3,1
0,"Boothby, Mr. Walter Thomas",0,38,3,0
0,"Boston, Mr. William John",0,33,3,1
0,"Boughton, Mr. Bernard John",0,24,3,0
0,"Boyd, Mr. John",0,37,3,0
0,"Boyes, Mr. John Henry",0,36,3,1
0,"Bradshaw, Mr. John Albert Perkin",0,43,3,0
0,"Brewster, Mr. George Henry",0,52,3,1
1,"Bride, Mr. Harold Sydney",0,22,3,1
0,"Bristow, Mr. Harry",0,38,3,0
0,"Bristow, Mr. Robert Charles",0,31,3,0
0,"Brookman, Mr. John Cress",0,28,3,0
0,"Broome, Mr. Athol Frederick",0,31,3,0
0,"Broom, Mr. Herbert George",0,33,3,1
1,"Brown, Mr. Edward",0,34,3,1
0,"Brown, Mr. Walter James",0,41,3,1
0,"Buckley, Mr. H. E.",0,34,3,0
0,"Bulley, Mr. Henry Ashburnham",0,22,3,0
0,"Bull, Mr. Walter Edward",0,37,3,0
0,"Bunnell, Mr. Wilfred James",0,21,3,1
1,"Burgess, Mr. Charles",0,18,3,0
0,"Burke, Mr. Richard Edward",0,30,3,1
1,"Burke, Mr. William",0,31,3,1
1,"Burrage, Mr. Arthur Victor Edwards",0,20,3,0
0,"Burr, Mr. Ewart Sydenham",0,29,3,0
0,"Butterworth, Mr. John",0,23,3,0
0,"Butt, Mr. Robert Henry",0,22,3,0
0,"Byrne, Mr. James Edward",0,45,3,0
0,"Campbell, Mr. Donald S.",0,25,3,0
0,"Carney, Mr. William",0,31,3,0
0,"Cartwright, Mr. James Edward",0,33,3,1
0,"Casswill, Mr. Charles",0,34,3,0
1,"Caton, Miss. Annie",1,33,3,0
0,"Caunt, Mr. William Ewart",0,28,3,0
0,"Cave, Mr. Herbert",0,39,3,1
0,"Cecil, Mr. Charles Thomas",0,21,3,0
1,"Chapman, Mr. Joseph Charles",0,32,3,0
0,"Charman, Mr. John James",0,25,3,0
0,"Cheverton, Mr. William Frederick",0,28,3,1
0,"Chitty, Mr. Archibald George",0,29,3,0
0,"Chitty, Mr. George Henry",0,50,3,0
0,"Christmas, Mr. Herbert Harry",0,34,3,0
0,"Coleman, Mr. Albert Edward",0,29,3,0
1,"Colgan, Mr. E. Joseph",0,33,3,0
